delivery_date,hour_ending,repeated_hour_flag,settlement_point,settlement_point_price
1/1/2026,8:00,N,HB_HOUSTON,32.08
1/1/2026,8:00,N,HB_HUBAVG,32.74
1/1/2026,8:00,N,HB_NORTH,32.65
1/1/2026,8:00,N,HB_PAN,33.42
1/1/2026,8:00,N,HB_SOUTH,32.1
1/1/2026,8:00,N,HB_WEST,34.15
1/1/2026,8:00,N,LZ_AEN,33.08
1/1/2026,8:00,N,LZ_CPS,32.4
1/1/2026,8:00,N,LZ_HOUSTON,32.07
1/1/2026,8:00,N,LZ_LCRA,32.52
1/1/2026,8:00,N,LZ_NORTH,32.71
1/1/2026,8:00,N,LZ_RAYBN,32.71
1/1/2026,8:00,N,LZ_SOUTH,32.81
1/1/2026,8:00,N,LZ_WEST,39.49
1/1/2026,9:00,N,HB_BUSAVG,22.19
1/1/2026,9:00,N,HB_HOUSTON,21.31
1/1/2026,9:00,N,HB_HUBAVG,22.14
1/1/2026,9:00,N,HB_NORTH,22.46
1/1/2026,9:00,N,HB_PAN,22.92
1/1/2026,9:00,N,HB_SOUTH,21.51
1/1/2026,9:00,N,HB_WEST,23.29
1/1/2026,9:00,N,LZ_AEN,23.32
1/1/2026,9:00,N,LZ_CPS,22.48
1/1/2026,9:00,N,LZ_HOUSTON,21.23
1/1/2026,9:00,N,LZ_LCRA,22.27
1/1/2026,9:00,N,LZ_NORTH,22.51
1/1/2026,9:00,N,LZ_RAYBN,22.51
1/1/2026,9:00,N,LZ_SOUTH,22.49
1/1/2026,9:00,N,LZ_WEST,25.76
1/1/2026,10:00,N,HB_BUSAVG,17.71
1/1/2026,10:00,N,HB_HOUSTON,17.12
1/1/2026,10:00,N,HB_HUBAVG,17.64
1/1/2026,10:00,N,HB_NORTH,17.94
1/1/2026,10:00,N,HB_PAN,18.01
1/1/2026,10:00,N,HB_SOUTH,17.26
1/1/2026,10:00,N,HB_WEST,18.25
1/1/2026,10:00,N,LZ_AEN,17.76
1/1/2026,10:00,N,LZ_CPS,17.66
1/1/2026,10:00,N,LZ_HOUSTON,17.09
1/1/2026,10:00,N,LZ_LCRA,17.59
1/1/2026,10:00,N,LZ_NORTH,18
1/1/2026,10:00,N,LZ_RAYBN,18.06
1/1/2026,10:00,N,LZ_SOUTH,17.67
1/1/2026,10:00,N,LZ_WEST,19.35
1/1/2026,11:00,N,HB_BUSAVG,18.23
1/1/2026,11:00,N,HB_HOUSTON,17.39
1/1/2026,11:00,N,HB_HUBAVG,18.03
1/1/2026,11:00,N,HB_NORTH,18.77
1/1/2026,11:00,N,HB_PAN,18.42
1/1/2026,11:00,N,HB_SOUTH,17.22
1/1/2026,11:00,N,HB_WEST,18.73
1/1/2026,11:00,N,LZ_AEN,17.76
1/1/2026,11:00,N,LZ_CPS,17.61
1/1/2026,11:00,N,LZ_HOUSTON,17.35
1/1/2026,11:00,N,LZ_LCRA,17.52
1/1/2026,11:00,N,LZ_NORTH,18.95
1/1/2026,11:00,N,LZ_RAYBN,19.05
1/1/2026,11:00,N,LZ_SOUTH,17.55
1/1/2026,11:00,N,LZ_WEST,19.17
1/1/2026,12:00,N,HB_BUSAVG,16.09
1/1/2026,12:00,N,HB_HOUSTON,15.29
1/1/2026,12:00,N,HB_HUBAVG,15.89
1/1/2026,12:00,N,HB_NORTH,16.66
1/1/2026,12:00,N,HB_PAN,16.38
1/1/2026,12:00,N,HB_SOUTH,14.94
1/1/2026,12:00,N,HB_WEST,16.67
1/1/2026,12:00,N,LZ_AEN,14.95
1/1/2026,12:00,N,LZ_CPS,14.99
1/1/2026,12:00,N,LZ_HOUSTON,15.28
1/1/2026,12:00,N,LZ_LCRA,15.01
1/1/2026,12:00,N,LZ_NORTH,16.88
1/1/2026,12:00,N,LZ_RAYBN,17
1/1/2026,12:00,N,LZ_SOUTH,15.05
1/1/2026,12:00,N,LZ_WEST,17.26
1/1/2026,13:00,N,HB_BUSAVG,15.94
1/1/2026,13:00,N,HB_HOUSTON,15.32
1/1/2026,13:00,N,HB_HUBAVG,15.78
1/1/2026,13:00,N,HB_NORTH,16.39
1/1/2026,13:00,N,HB_PAN,15.9
1/1/2026,13:00,N,HB_SOUTH,15.07
1/1/2026,13:00,N,HB_WEST,16.35
1/1/2026,13:00,N,LZ_AEN,14.94
1/1/2026,13:00,N,LZ_CPS,15.1
1/1/2026,13:00,N,LZ_HOUSTON,15.31
1/1/2026,13:00,N,LZ_LCRA,15.03
1/1/2026,13:00,N,LZ_NORTH,16.57
1/1/2026,13:00,N,LZ_RAYBN,16.7
1/1/2026,13:00,N,LZ_SOUTH,15.08
1/1/2026,13:00,N,LZ_WEST,16.8
1/1/2026,14:00,N,HB_BUSAVG,13.96
1/1/2026,14:00,N,HB_HOUSTON,13.64
1/1/2026,14:00,N,HB_HUBAVG,13.86
1/1/2026,14:00,N,HB_NORTH,14.22
1/1/2026,14:00,N,HB_PAN,13.77
1/1/2026,14:00,N,HB_SOUTH,13.47
1/1/2026,14:00,N,HB_WEST,14.11
1/1/2026,14:00,N,LZ_AEN,13.43
1/1/2026,14:00,N,LZ_CPS,13.52
1/1/2026,14:00,N,LZ_HOUSTON,13.64
1/1/2026,14:00,N,LZ_LCRA,13.47
1/1/2026,14:00,N,LZ_NORTH,14.3
1/1/2026,14:00,N,LZ_RAYBN,14.41
1/1/2026,14:00,N,LZ_SOUTH,13.49
1/1/2026,14:00,N,LZ_WEST,14.3
1/1/2026,15:00,N,HB_BUSAVG,10.15
1/1/2026,15:00,N,HB_HOUSTON,9.92
1/1/2026,15:00,N,HB_HUBAVG,10.07
1/1/2026,15:00,N,HB_NORTH,10.35
1/1/2026,15:00,N,HB_PAN,9.65
1/1/2026,15:00,N,HB_SOUTH,9.77
1/1/2026,15:00,N,HB_WEST,10.24
1/1/2026,15:00,N,LZ_AEN,9.75
1/1/2026,15:00,N,LZ_CPS,9.81
1/1/2026,15:00,N,LZ_HOUSTON,9.91
1/1/2026,15:00,N,LZ_LCRA,9.78
1/1/2026,15:00,N,LZ_NORTH,10.41
1/1/2026,15:00,N,LZ_RAYBN,10.51
1/1/2026,15:00,N,LZ_SOUTH,9.89
1/1/2026,15:00,N,LZ_WEST,10.3
1/1/2026,16:00,N,HB_BUSAVG,13.4
1/1/2026,16:00,N,HB_HOUSTON,13.2
1/1/2026,16:00,N,HB_HUBAVG,13.33
